label;latitude;longitude
corcelles les arts;46,95;4,8
corcelles les citeaux;47,17;5,08
corrombles;47,52;4,2
courban;47,92;4,74
crepand;47,61;4,31
crugey;47,18;4,68
cussy le chatel;47,16;4,58
daix;47,36;4,97
detain et bruant;47,17;4,79
drambon;47,33;5,38
dree;47,34;4,7
duesme;47,64;4,69
echevannes;47,55;5,16
essarois;47,76;4,79
etais;47,7;4,44
etrochey;47,89;4,52
flagey echezeaux;47,16;4,98
foissy;47,13;4,55
fontaines en duesmois;47,65;4,53
fontaine les dijon;47,35;5,02
fussey;47,13;4,82
genay;47,52;4,28
glanon;47,04;5,11
griselles;47,88;4,37
grosbois les tichey;47,01;5,24
abbans dessous;47,13;5,87
gurgy le chateau;47,83;4,93
abbevillers;47,43;6,92
hauteville les dijon;47,38;4,98
arc sous montenot;46,92;6,01
heuilley sur saone;47,34;5,47
autechaux roide;47,39;6,81
jallanges;46,98;5,17
avanne aveney;47,2;5,96
jancigny;47,38;5,42
baume les dames;47,35;6,34
labergement foigney;47,26;5,25
belleherbe;47,26;6,65
lantilly;47,54;4,38
belvoir;47,32;6,62
lechatelet;47,05;5,14
berche;47,47;6,75
lignerolles;47,9;4,89
berthelange;47,2;5,78
louesme;47,89;4,76
besancon;47,26;6,02
lux;47,49;5,22
blarians;47,41;6,18
maconge;47,23;4,58
la bosse;47,14;6,65
magny st medard;47,38;5,25
bouclans;47,24;6,24
malain;47,32;4,79
bournois;47,49;6,5
maligny;47,08;4,51
boussieres;47,15;5,9
marey les fussey;47,12;4,86
braillans;47,31;6,09
mont d origny;49,85;3,53
marey sur tille;47,59;5,08
breres;47,06;5,86
montfaucon;48,95;3,43
marigny le cahouet;47,46;4,45
bretonvillers;47,22;6,62
montgobert;49,29;3,17
marsannay le bois;47,44;5,1
brey et maison du bois;46,75;6,24
montgru st hilaire;49,18;3,33
mauvilly;47,71;4,7
cendrey;47,4;6,25
monthiers;49,11;3,29
meloisey;47,03;4,72
chalezeule;47,26;6,07
montigny le franc;49,69;3,92
menessaire;47,13;4,15
champagney;47,25;5,89
montigny sur crecy;49,71;3,58
molinot;47,01;4,58
chapelle des bois;46,61;6,11
mont st martin;49,27;3,64
montceau et echarnant;47,06;4,67
charquemont;47,2;6,84
morgny en thierache;49,75;4,08
montigny mornay villeneuve vinge;47,57;5,45
charquemont;47,2;6,84
mortiers;49,69;3,66
montliot et courcelles;47,89;4,56
chassagne st denis;47,08;6,11
muscourt;49,36;3,74
montmoyen;47,73;4,79
la chaux;47,02;6,41
nanteuil notre dame;49,19;3,41
mussy la fosse;47,52;4,44
chenecey buillon;47,14;5,97
la neuville en beine;49,68;3,16
nantoux;47,03;4,76
la chevillotte;47,22;6,16
neuville st amand;49,82;3,33
noidan;47,35;4,41
chevroz;47,33;6
neuville sur ailette;49,47;3,7
nolay;46,96;4,62
courcelles les montbeliard;47,5;6,78
neuville sur margival;49,45;3,4
norges la ville;47,41;5,07
le crouzet;46,71;6,13
neuvillette;49,86;3,47
normier;47,36;4,43
cuse et adrisans;47,48;6,39
nogentel;49,01;3,4
oisilly;47,42;5,36
dambelin;47,37;6,67
noircourt;49,67;4,09
ouges;47,26;5,08
dampierre les bois;47,51;6,92
nouvion le comte;49,71;3,46
pagny la ville;47,06;5,17
dompierre les tilleuls;46,89;6,16
nouvion le vineux;49,51;3,61
perrigny sur l ognon;47,31;5,46
dung;47,51;6,75
nouvron vingre;49,43;3,19
pichanges;47,46;5,16
echevannes;47,07;6,24
origny en thierache;49,89;4,01
planay;47,74;4,38
l ecouvotte;47,34;6,25
oulches la vallee foulon;49,43;3,74
poiseul la ville et laperriere;47,57;4,66
epenouse;47,21;6,4
oulchy la ville;49,21;3,34
pommard;47,01;4,8
esnans;47,33;6,32
oulchy le chateau;49,21;3,38
poncey sur l ignon;47,49;4,75
etalans;47,17;6,25
oulchy le chateau;49,21;3,38
pont;47,18;5,32
etupes;47,51;6,87
paars;49,33;3,6
quincerot;47,62;4,27
flagey;47,05;6,11
paissy;49,43;3,7
quincey;47,11;4,97
fontain;47,19;6,03
pargnan;49,39;3,7
quincy le vicomte;47,62;4,24
frambouhans;47,2;6,78
pargny filain;49,46;3,54
la roche vanneau;47,47;4,53
franois;47,23;5,93
passy en valois;49,16;3,18
rougemont;47,67;4,26
geney;47,48;6,57
pierremande;49,57;3,26
rouvres en plaine;47,24;5,14
germondans;47,41;6,2
ruffey les beaune;47,02;4,92
glere;47,35;6,98
sacquenay;47,58;5,32
gouhelans;47,45;6,36
st anthot;47,32;4,64
goux les usiers;46,98;6,29
st germain de modeon;47,37;4,12
les grangettes;46,83;6,32
st germain les senailly;47,6;4,28
guillon les bains;47,32;6,39
ste marie la blanche;46,97;4,89
guyans durnes;47,13;6,24
st martin de la mer;47,24;4,23
guyans vennes;47,17;6,58
st maurice sur vingeanne;47,58;5,4
houtaud;46,91;6,3
st nicolas les citeaux;47,13;5,08
hyevre paroisse;47,37;6,43
semur en auxois;47,49;4,34
hyevre paroisse;47,37;6,43
souhey;47,49;4,42
larnod;47,18;5,97
tart;47,19;5,21
lavans vuillafans;47,08;6,26
thenissey;47,5;4,62
levier;46,96;6,11
thoste;47,44;4,23
loray;47,16;6,5
torcy et pouligny;47,5;4,24
lougres;47,47;6,68
trugny;46,97;5,15
maisons du bois lievremont;46,98;6,41
uncey le franc;47,34;4,57
maisons du bois lievremont;46,98;6,41
vandenesse en auxois;47,22;4,62
mancenans lizerne;47,26;6,77
varanges;47,23;5,19
mazerolles le salin;47,24;5,87
vernois les vesvres;47,65;5,15
mediere;47,46;6,6
veronnes;47,54;5,24
les monts ronds;47,16;6,06
verrey sous salmaise;47,44;4,67
moncey;47,36;6,14
vianges;47,17;4,33
mondon;47,45;6,31
villedieu;47,91;4,38
montecheroux;47,35;6,8
villers la faye;47,11;4,88
montivernage;47,31;6,42
villers les pots;47,21;5,35
montjoie le chateau;47,35;6,9
villiers le duc;47,79;4,7
montmahoux;46,98;6,03
vitteaux;47,4;4,54
montperreux;46,82;6,34
vonges;47,29;5,4
myon;47,01;5,94
vougeot;47,17;4,96
naisey les granges;47,21;6,23
nancray;47,25;6,18
nans;47,48;6,41
noel cerneux;47,1;6,66
ollans;47,42;6,25
orgeans blanchefontaine;47,27;6,75
pessans;47,07;5,89
la planee;46,84;6,27
pont de roide vermondans;47,39;6,76
pouilley francais;47,21;5,84
presentevillers;47,5;6,73
la pretiere;47,45;6,61
le puy;47,35;6,23
quingey;47,1;5,88
randevillers;47,31;6,53
rochejean;46,73;6,3
ronchaux;47,04;5,9
la ville aux bois les pontavert;49,43;3,85
roset fluans;47,15;5,83
rougemont;47,48;6,35
le russey;47,16;6,74
ste anne;46,95;5,98
st gorgon main;47,02;6,34
ste marie;47,5;6,69
st maurice colombier;47,43;6,65
sancey;47,29;6,57
saraz;46,99;5,97
sechin;47,34;6,29
seloncourt;47,46;6,86
silley amancey;47,03;6,14
thiebouhans;47,27;6,84
la tour de scay;47,38;6,22
trepot;47,17;6,17
trouvans;47,42;6,35
uzelle;47,47;6,44
vaire;47,28;6,15
vaire;47,28;6,15
val de roulans;47,36;6,27
vaucluse;47,25;6,69
vaudrivillers;47,28;6,43
verne;47,4;6,35
vernierfontaine;47,11;6,3
vernois les belvoir;47,32;6,64
aspres les corps;44,81;6
la chapelle en valgaudemar;44,82;6,24
villar loubiere;44,84;6,14
ajoux;44,75;4,49
balazuc;44,51;4,37
chauzon;44,49;4,34
creysseilles;44,76;4,53
laboule;44,6;4,17
loubaresse;44,59;4,05
lyas;44,76;4,6
malarce sur la thines;44,48;4,05
belsentes;44,92;4,5
orgnac l aven;44,31;4,42
ruoms;44,45;4,35
st barthelemy le meil;44,88;4,48
st christol;44,87;4,44
st julien du gua;44,77;4,44
st pierre st jean;44,48;4,1
st sauveur de montagut;44,82;4,57
tauriers;44,55;4,27
toulaud;44,9;4,79
uzer;44,52;4,33
les vans;44,39;4,11
les vans;44,39;4,11
abbenans;47,5;6,45
les allies;46,95;6,45
anteuil;47,38;6,58
arbouans;47,49;6,81
arc et senans;47,04;5,77
autechaux;47,38;6,38
avanne aveney;47,2;5,96
badevel;47,5;6,94
battenans varin;47,24;6,72
beutal;47,47;6,64
blussangeaux;47,43;6,62
blussans;47,41;6,62
bonnay;47,33;6,04
boujailles;46,88;6,08
bremondans;47,23;6,4
les breseux;47,27;6,8
bretigney notre dame;47,31;6,3
buffard;47,03;5,83
bugny;47;6,36
burgille;47,26;5,78
